3db06bb908d2	1	board-routing	gpt-5.6-luna	none
19eeaceb4219	1	board-routing	gpt-5.6-luna	simple
d092891bc284	1	board-routing	gpt-5.6-terra	none
057f47d7f289	1	board-routing	gpt-5.6-terra	simple
fdc4fceb8032	1	board-routing-closed	gpt-5.6-luna	none
453b81280b03	1	board-routing-closed	gpt-5.6-luna	simple
b9646bced4b6	1	board-routing-closed	gpt-5.6-terra	none
ed34920bc473	1	board-routing-closed	gpt-5.6-terra	simple
2ce2ea6fec21	1	board-no-delegation	gpt-5.6-luna	none
ca6c12f80f6d	1	board-no-delegation	gpt-5.6-luna	simple
6e4ad831895c	1	board-no-delegation	gpt-5.6-terra	none
dfcd2f534e90	1	board-no-delegation	gpt-5.6-terra	simple
7f99c5d51467	1	board-majority-trap	gpt-5.6-luna	none
c6a6e21296cf	1	board-majority-trap	gpt-5.6-luna	simple
68fbbd892ad9	1	board-majority-trap	gpt-5.6-terra	none
a3f594e4cb8e	1	board-majority-trap	gpt-5.6-terra	simple
793274446b25	1	board-restraint	gpt-5.6-luna	none
a6efaee4f4e6	1	board-restraint	gpt-5.6-luna	simple
b81106495bcf	1	board-restraint	gpt-5.6-terra	none
55f4338f45e4	1	board-restraint	gpt-5.6-terra	simple
