0a495f3153aa	1	stated-requirement	gpt-5.6-luna	none
dfcfd31f005e	1	stated-requirement	gpt-5.6-luna	current
0713ca2bc0c4	1	stated-requirement	gpt-5.6-luna	candidate
9a8670f804d5	1	stated-requirement-consumer	gpt-5.6-luna	none
0f54cb5a8548	1	stated-requirement-consumer	gpt-5.6-luna	current
5d0a9502d4e2	1	stated-requirement-consumer	gpt-5.6-luna	candidate
53b3d5a242ff	2	stated-requirement	gpt-5.6-luna	none
83cf3c9fde9f	2	stated-requirement	gpt-5.6-luna	current
8b03759a20cf	2	stated-requirement	gpt-5.6-luna	candidate
a8cd298678c9	2	stated-requirement-consumer	gpt-5.6-luna	none
e8b15384cfc1	2	stated-requirement-consumer	gpt-5.6-luna	current
266d68894440	2	stated-requirement-consumer	gpt-5.6-luna	candidate
