e8de3e381b96	1	greenfield-start	gpt-5.6-luna	current
e1660547119b	1	greenfield-start	gpt-5.6-luna	candidate
6e18f2a34736	1	greenfield-start	gpt-5.6-terra	current
60dcea71a9c9	1	greenfield-start	gpt-5.6-terra	candidate
ccafd09be522	1	shared-owner-fix	gpt-5.6-luna	current
915bf317438e	1	shared-owner-fix	gpt-5.6-luna	candidate
6b0c59705b0b	1	shared-owner-fix	gpt-5.6-terra	current
db51de4da5d4	1	shared-owner-fix	gpt-5.6-terra	candidate
1783c83f9be7	1	startup-root-cause	gpt-5.6-luna	current
03328b4b18b5	1	startup-root-cause	gpt-5.6-luna	candidate
e60a141ec6f6	1	startup-root-cause	gpt-5.6-terra	current
fbd541820d67	1	startup-root-cause	gpt-5.6-terra	candidate
807d3a2baeb0	1	implicit-add	gpt-5.6-luna	current
171ac5ba77c3	1	implicit-add	gpt-5.6-luna	candidate
6132859cd0ff	1	implicit-add	gpt-5.6-terra	current
2211eea8e557	1	implicit-add	gpt-5.6-terra	candidate
704cc17d1056	1	qualitative-improve	gpt-5.6-luna	current
8398a76736f9	1	qualitative-improve	gpt-5.6-luna	candidate
7602eeaf2fc8	1	qualitative-improve	gpt-5.6-terra	current
a1fe69a07635	1	qualitative-improve	gpt-5.6-terra	candidate
e1e2d792fa70	1	trivial-fix	gpt-5.6-luna	current
c4c33a70ea7d	1	trivial-fix	gpt-5.6-luna	candidate
4dc3cb067a02	1	trivial-fix	gpt-5.6-terra	current
a5f34681cf4b	1	trivial-fix	gpt-5.6-terra	candidate
eaed03db7a1c	2	greenfield-start	gpt-5.6-luna	current
23247bbca4e4	2	greenfield-start	gpt-5.6-luna	candidate
0867dbf22412	2	greenfield-start	gpt-5.6-terra	current
a46b559a5748	2	greenfield-start	gpt-5.6-terra	candidate
074806cdca34	2	shared-owner-fix	gpt-5.6-luna	current
f0e4a98a68e1	2	shared-owner-fix	gpt-5.6-luna	candidate
9e1988ee7937	2	shared-owner-fix	gpt-5.6-terra	current
2565f3f35a57	2	shared-owner-fix	gpt-5.6-terra	candidate
bbd93d4cb7ce	2	startup-root-cause	gpt-5.6-luna	current
58cdf5063ba4	2	startup-root-cause	gpt-5.6-luna	candidate
69956c63ee96	2	startup-root-cause	gpt-5.6-terra	current
3207535dce79	2	startup-root-cause	gpt-5.6-terra	candidate
8de7c0ff28d6	2	implicit-add	gpt-5.6-luna	current
52e6704c8fa3	2	implicit-add	gpt-5.6-luna	candidate
9a848ce73db3	2	implicit-add	gpt-5.6-terra	current
0e36ea7cd2eb	2	implicit-add	gpt-5.6-terra	candidate
f3b4ec9408f1	2	qualitative-improve	gpt-5.6-luna	current
0fb7e0b059f0	2	qualitative-improve	gpt-5.6-luna	candidate
5b0fd18a9841	2	qualitative-improve	gpt-5.6-terra	current
6ee4111e6224	2	qualitative-improve	gpt-5.6-terra	candidate
d81eb9c02b29	2	trivial-fix	gpt-5.6-luna	current
91821ff7a7ef	2	trivial-fix	gpt-5.6-luna	candidate
0fee9452136c	2	trivial-fix	gpt-5.6-terra	current
848a1210a409	2	trivial-fix	gpt-5.6-terra	candidate
